female,age,educ,inc_q,in_workforce,is_rural,account,account_fin,account_mob,dig_account,con1,internet_use,anydigpayment,merchantpay_dig,saved,fin17b,fin17c,borrowed,fin22a,fin22a_1,fin24a,fin24b,adoption_tier,adoption_tier_label,cluster
0,52,2,5,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,4,0,Excluded,1
1,24,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,4,0,Excluded,0
0,36,2,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,3,Advanced,2
1,30,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,Excluded,0
0,21,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,1
0,34,2,4,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,2,0,Excluded,1
1,20,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,Excluded,0
1,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Excluded,0
1,55,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,Excluded,0
1,39,3,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,Excluded,1
0,40,1,5,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,3,Advanced,1
0,20,2,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,Excluded,1
0,60,1,4,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,2,Digitally Engaged,1
0,32,2,3,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2,4,3,Advanced,2
1,35,2,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,Excluded,1
0,55,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,3,3,Advanced,2
1,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,Excluded,0
0,20,2,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,Excluded,1
0,17,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,Excluded,1
1,35,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,Excluded,0
1,27,2,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,Excluded,1
1,100,1,5,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,3,Advanced,0
1,20,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,Excluded,0
1,37,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
0,24,1,5,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,3,Advanced,2
1,16,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,4,3,Advanced,1
0,20,2,3,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,2,1,3,Advanced,1
1,40,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
1,15,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
1,26,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,Excluded,0
1,40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,Excluded,0
1,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
0,18,2,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,Excluded,1
1,30,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
1,60,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,0,Excluded,0
1,29,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,Excluded,0
0,25,1,4,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,2,0,Excluded,1
1,22,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,Excluded,1
1,35,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
0,30,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,Excluded,1
1,16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
1,20,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
0,20,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,1
1,37,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,Excluded,1
1,28,1,2,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,Excluded,0
0,60,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,Excluded,1
0,25,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,Excluded,1
0,18,2,4,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,2,2,2,Digitally Engaged,1
0,42,3,4,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,3,Advanced,2
0,55,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Excluded,1
0,30,2,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2,2,2,Digitally Engaged,1
0,17,1,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,4,0,Excluded,1
1,38,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0,Excluded,0
1,31,2,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,Excluded,1
1,35,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Excluded,0
0,28,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,Excluded,1
0,34,3,5,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,2,2,3,Advanced,1
0,24,1,4,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,2,1,2,Digitally Engaged,1
1,48,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
0,16,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,1
1,19,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
0,35,2,4,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,Basic,1
0,44,2,4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,0,Excluded,1
0,40,2,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,Advanced,2
1,16,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Basic,0
1,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
1,45,1,3,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,Excluded,0
0,18,2,5,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,0,Excluded,1
0,25,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,0,Excluded,1
1,30,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,Excluded,0
0,37,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,1
1,27,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
0,25,1,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,Excluded,1
0,25,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0,Excluded,1
1,28,1,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,Basic,0
0,33,2,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,3,Advanced,2
1,60,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,Excluded,0
0,26,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,Excluded,1
0,40,1,4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,3,0,Excluded,1
1,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
1,17,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,Excluded,0
1,35,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,Excluded,0
0,34,2,3,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,2,3,Advanced,1
0,28,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,Excluded,1
0,27,1,5,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,2,1,2,Digitally Engaged,1
0,26,2,5,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,3,0,3,Advanced,1
0,28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
1,30,2,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,Excluded,1
1,16,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,Excluded,0
1,49,1,2,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,3,0,Excluded,0
0,37,1,4,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,0,Excluded,1
1,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
1,45,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,Excluded,0
0,30,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,4,0,Excluded,1
0,27,2,4,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,2,Digitally Engaged,1
1,60,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,Excluded,0
1,27,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
0,60,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,Excluded,1
0,26,2,5,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,3,0,Excluded,1
1,50,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,2,3,Advanced,0
1,28,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
0,38,1,3,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,2,2,0,Excluded,1
1,60,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,Excluded,0
0,40,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,Excluded,1
1,15,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,Excluded,0
0,35,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,Excluded,1
1,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Excluded,0
1,40,2,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,Excluded,0
1,20,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,Excluded,0
0,42,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0,Excluded,1
1,38,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
0,22,2,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,Excluded,1
1,70,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,Excluded,0
0,45,2,5,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,2,2,3,Advanced,2
1,48,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Excluded,0
1,33,1,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,Excluded,0
1,27,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,Excluded,0
1,40,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
1,16,1,5,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,2,Digitally Engaged,0
0,65,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Excluded,0
1,37,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,Excluded,0
1,18,2,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,Excluded,1
0,30,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0,Excluded,1
1,17,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Excluded,0
0,25,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,3,3,Advanced,1
1,20,2,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Excluded,0
0,49,1,4,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,3,Advanced,1
1,24,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0,Excluded,1
0,29,1,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,Excluded,1
0,16,2,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,4,0,Excluded,1
1,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,Excluded,0
1,23,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,Excluded,0
1,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
1,60,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Excluded,0
1,20,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,Excluded,0
1,28,1,3,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,Basic,0
1,25,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
0,30,1,4,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,3,0,Excluded,1
1,48,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
0,32,2,5,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,2,3,3,Advanced,2
1,87,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
0,22,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,Excluded,1
1,18,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
1,53,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
1,27,2,5,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,1,2,Digitally Engaged,2
1,21,2,5,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,Excluded,1
0,32,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,3,3,Advanced,2
1,25,2,3,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,3,2,Digitally Engaged,1
0,42,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,1
1,21,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Excluded,0
0,50,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,Excluded,0
1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,Excluded,0
0,30,2,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,2,2,3,Advanced,2
1,27,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,Excluded,0
1,25,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,Excluded,0
0,29,2,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,2,2,3,Advanced,2
0,24,2,4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,0,Excluded,1
0,40,2,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,Advanced,2
1,40,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
1,18,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,Excluded,0
1,30,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
1,30,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
1,25,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
0,17,2,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,Excluded,1
1,24,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
1,24,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,Excluded,0
0,40,1,3,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,3,Advanced,1
1,48,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,Excluded,0
1,21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
0,25,2,4,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,3,Advanced,1
0,22,2,3,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,2,4,2,Digitally Engaged,1
0,57,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,Excluded,1
0,72,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0,Excluded,1
1,25,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,Excluded,0
0,22,1,2,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,2,3,3,Advanced,1
1,16,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
0,38,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,0,Excluded,1
1,50,1,5,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,2,3,Advanced,0
1,20,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,Excluded,0
1,42,2,4,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,4,0,Excluded,0
1,35,1,5,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,2,Digitally Engaged,1
0,26,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,Excluded,1
0,37,1,4,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,2,0,Excluded,1
1,23,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Excluded,0
0,21,2,3,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,2,3,3,Advanced,2
1,50,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,Excluded,0
1,18,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,Excluded,0
1,30,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,Excluded,0
0,29,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,3,3,Advanced,2
1,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,Excluded,0
1,63,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
1,50,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
1,25,3,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,2,0,Excluded,1
0,32,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,Excluded,1
1,40,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
0,50,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
0,28,2,5,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,4,0,Excluded,1
1,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,0
1,40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Excluded,0
1,33,2,5,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,2,0,Excluded,1
